App0,"([[11, 9], [24, 9], [15, 9], [23, 9], [5, 40], [13, 24], [4, 24], [2, 41], [8, 17], [22, 17], [1, 13], [14, 13], [3, 13], [20, 11], [10, 11], [19, 44], [0, 44], [21, 28], [17, 28], [12, 8], [7, 8], [6, 1], [9, 19], [16, 35], [18, 35]], ['0.04326963'])"
App1,"([[11, 9], [27, 9], [10, 9], [21, 9], [25, 9], [8, 9], [0, 40], [4, 40], [18, 24], [3, 24], [12, 41], [19, 41], [7, 17], [23, 17], [14, 13], [6, 13], [15, 13], [5, 11], [17, 11], [1, 44], [22, 44], [9, 28], [26, 8], [2, 8], [13, 1], [16, 19], [20, 35], [24, 35]], ['0.05676913'])"
App2,"([[9, 9], [21, 9], [22, 9], [1, 40], [10, 24], [14, 24], [4, 41], [5, 17], [3, 17], [8, 13], [7, 13], [2, 13], [17, 11], [0, 44], [19, 8], [13, 8], [18, 1], [12, 19], [20, 35], [16, 35], [23, 37], [11, 37], [15, 22], [6, 47]], ['0.04809046'])"
App3,"([[21, 9], [22, 9], [7, 9], [12, 9], [11, 9], [23, 40], [17, 40], [0, 24], [25, 24], [2, 41], [24, 17], [16, 17], [20, 13], [10, 13], [14, 11], [5, 11], [15, 44], [18, 28], [4, 28], [8, 8], [13, 1], [3, 19], [19, 35], [1, 35], [6, 37], [9, 37]], ['0.05183458'])"
App4,"([[2, 9], [1, 9], [0, 9], [3, 9], [5, 24], [4, 24], [6, 17]], ['0.00282979'])"
App5,"([[18, 9], [15, 9], [3, 9], [25, 9], [9, 40], [11, 40], [7, 24], [4, 24], [8, 41], [22, 17], [20, 17], [0, 13], [1, 13], [19, 13], [12, 11], [6, 11], [13, 44], [2, 28], [5, 8], [14, 8], [24, 1], [16, 19], [21, 35], [23, 35], [10, 37], [17, 37]], ['0.03023958'])"
App6,"([[1, 9], [6, 9], [7, 40], [5, 24], [4, 24], [0, 17], [2, 13], [3, 13]], ['0.00798368'])"
App7,"([[6, 9], [7, 9], [16, 9], [10, 9], [15, 40], [0, 40], [14, 24], [2, 41], [17, 17], [13, 17], [9, 13], [4, 13], [5, 11], [1, 11], [11, 8], [8, 8], [12, 1], [3, 19]], ['0.02816677'])"
App8,"([[0, 9], [6, 9], [5, 9], [15, 9], [11, 40], [4, 24], [12, 24], [16, 24], [20, 41], [19, 41], [10, 17], [13, 17], [18, 13], [8, 13], [9, 13], [2, 11], [14, 11], [7, 28], [1, 8], [17, 19], [3, 35]], ['0.03477097'])"
App9,"([[6, 9], [13, 9], [12, 9], [22, 40], [21, 40], [5, 24], [14, 24], [0, 41], [15, 41], [4, 17], [10, 17], [9, 13], [7, 13], [8, 11], [19, 11], [11, 44], [1, 28], [3, 28], [20, 8], [18, 8], [17, 1], [2, 19], [16, 19]], ['0.02372265'])"
App10,"([[19, 9], [3, 9], [18, 9], [5, 9], [1, 40], [17, 24], [9, 24], [22, 41], [0, 17], [20, 17], [4, 13], [14, 13], [8, 11], [15, 11], [10, 44], [6, 8], [7, 1], [2, 19], [12, 35], [21, 35], [11, 37], [13, 22]], ['0.04353428'])"
App11,"([[1, 9], [0, 9], [4, 9], [2, 40], [5, 24], [3, 17]], ['0.00536585'])"
App12,"([[10, 9], [13, 9], [0, 9], [14, 40], [12, 24], [3, 24], [4, 41], [1, 41], [7, 17], [5, 13], [8, 13], [11, 13], [6, 11], [9, 11], [2, 8]], ['0.02026081'])"
App13,"([[14, 9], [5, 9], [9, 9], [20, 9], [12, 40], [15, 24], [4, 24], [11, 41], [8, 41], [16, 17], [13, 17], [21, 13], [18, 13], [6, 11], [2, 11], [7, 44], [19, 28], [3, 8], [10, 8], [17, 1], [1, 19], [0, 35]], ['0.03961468'])"
App14,"([[8, 9], [28, 9], [18, 9], [13, 9], [19, 40], [23, 24], [0, 24], [27, 41], [21, 17], [20, 17], [7, 13], [22, 13], [4, 13], [9, 11], [3, 11], [24, 44], [12, 8], [5, 8], [11, 1], [6, 19], [14, 35], [1, 35], [25, 37], [2, 37], [10, 22], [16, 23], [15, 7], [26, 45]], ['0.04970884'])"
App15,"([[13, 9], [8, 9], [11, 9], [14, 9], [0, 40], [7, 24], [4, 41], [12, 17], [9, 17], [2, 13], [5, 13], [10, 11], [3, 11], [6, 8], [1, 35]], ['0.02061200'])"
App16,"([[0, 9], [13, 9], [6, 9], [9, 9], [7, 40], [14, 24], [10, 24], [11, 41], [15, 17], [1, 17], [12, 17], [3, 13], [2, 13], [4, 11], [8, 11], [5, 8]], ['0.01071811'])"
App17,"([[1, 9], [13, 9], [16, 9], [17, 9], [21, 40], [5, 40], [22, 40], [7, 24], [6, 24], [8, 41], [2, 41], [19, 17], [10, 17], [4, 13], [14, 13], [12, 13], [9, 13], [18, 11], [11, 11], [0, 44], [20, 28], [3, 8], [15, 8]], ['0.02291226'])"
App18,"([[15, 9], [11, 9], [0, 9], [4, 40], [9, 40], [6, 24], [10, 24], [16, 41], [3, 17], [13, 17], [5, 13], [14, 13], [7, 13], [8, 13], [2, 11], [1, 11], [12, 44]], ['0.00696778'])"
App19,"([[2, 9], [11, 9], [5, 9], [8, 9], [7, 40], [9, 24], [4, 41], [3, 17], [1, 13], [6, 13], [0, 11], [10, 11]], ['0.01106191'])"
