App0,"([(0, 20), (1, 53), (2, 20), (3, 53)], '0.05634928', 0.008205890655517578, 'Optimal')"
App1,"([(0, 12), (1, 12), (2, 78), (3, 78), (4, 2), (5, 2), (6, 2), (7, 78)], '0.18925786', 0.13079309463500977, 'Optimal')"
App2,"([(0, 50), (1, 53), (2, 98), (3, 98), (4, 88), (5, 88), (6, 97), (7, 28), (8, 33), (9, 53), (10, 60), (11, 66)], '0.22565770', 0.12016987800598145, 'Optimal')"
App3,"([(0, 66), (1, 16), (2, 88), (3, 66), (4, 51), (5, 51), (6, 37), (7, 72), (8, 11), (9, 15), (10, 37), (11, 15), (12, 29), (13, 29), (14, 72), (15, 11)], '0.18458652', 0.08663296699523926, 'Optimal')"
App4,"([(0, 2), (1, 12), (2, 1), (3, 98), (4, 98), (5, 21), (6, 11), (7, 78), (8, 2), (9, 29), (10, 1), (11, 11), (12, 87), (13, 11), (14, 12), (15, 29), (16, 87), (17, 29), (18, 11), (19, 78)], '0.93731880', 0.7864770889282227, 'Optimal')"
App5,"([(0, 37), (1, 94), (2, 37), (3, 8), (4, 37), (5, 52), (6, 88), (7, 11), (8, 29), (9, 8), (10, 69), (11, 52), (12, 29), (13, 69), (14, 88), (15, 69), (16, 94), (17, 15), (18, 11), (19, 63), (20, 63), (21, 26), (22, 15), (23, 60)], '1.20045972', 1.0340590476989746, 'Optimal')"
App6,"([(0, 78), (1, 66), (2, 97), (3, 21), (4, 87), (5, 53), (6, 98), (7, 86), (8, 50), (9, 12), (10, 7), (11, 48), (12, 20), (13, 65), (14, 41), (15, 86), (16, 76), (17, 60), (18, 29), (19, 76), (20, 12), (21, 41), (22, 29), (23, 53), (24, 20), (25, 98), (26, 87), (27, 78)], '0.72439623', 0.5338149070739746, 'Optimal')"
App7,"([(0, 29), (1, 78), (2, 2), (3, 8), (4, 63), (5, 12), (6, 43), (7, 63), (8, 98), (9, 15), (10, 87), (11, 72), (12, 43), (13, 11), (14, 15), (15, 43), (16, 29), (17, 69), (18, 94), (19, 51), (20, 87), (21, 2), (22, 72), (23, 78), (24, 51), (25, 43), (26, 69), (27, 94), (28, 98), (29, 11), (30, 12), (31, 8)], '2.79840970', 2.6153430938720703, 'Optimal')"
App8,"([(0, 68), (1, 50), (2, 78), (3, 98), (4, 69), (5, 41), (6, 86), (7, 66), (8, 53), (9, 98), (10, 2), (11, 68), (12, 69), (13, 78), (14, 87), (15, 2), (16, 12), (17, 69), (18, 12), (19, 15), (20, 41), (21, 87), (22, 7), (23, 15), (24, 90), (25, 48), (26, 20), (27, 28), (28, 97), (29, 20), (30, 90), (31, 33), (32, 12), (33, 53), (34, 86), (35, 21)], '1.93969464', 1.6689608097076416, 'Optimal')"
App9,"([(0, 12), (1, 78), (2, 37), (3, 29), (4, 2), (5, 72), (6, 86), (7, 53), (8, 72), (9, 2), (10, 2), (11, 41), (12, 29), (13, 37), (14, 20), (15, 87), (16, 88), (17, 90), (18, 11), (19, 20), (20, 2), (21, 21), (22, 66), (23, 86), (24, 11), (25, 88), (26, 41), (27, 48), (28, 72), (29, 12), (30, 50), (31, 37), (32, 97), (33, 87), (34, 90), (35, 7), (36, 78), (37, 53), (38, 29), (39, 12)], '3.50049281', 3.238051176071167, 'Optimal')"
App10,"([(0, 50), (1, 78), (2, 2), (3, 6), (4, 41), (5, 15), (6, 12), (7, 76), (8, 6), (9, 72), (10, 83), (11, 64), (12, 65), (13, 28), (14, 87), (15, 86), (16, 37), (17, 11), (18, 33), (19, 53), (20, 20), (21, 87), (22, 72), (23, 98), (24, 2), (25, 41), (26, 91), (27, 98), (28, 12), (29, 7), (30, 66), (31, 97), (32, 64), (33, 76), (34, 91), (35, 15), (36, 37), (37, 37), (38, 20), (39, 11), (40, 86), (41, 78), (42, 48), (43, 53)], '1.60012126', 1.315958023071289, 'Optimal')"
App11,"([(0, 9), (2, 94), (3, 11), (5, 29), (6, 84), (7, 15), (9, 2), (10, 11), (14, 8), (16, 37), (17, 88), (19, 69), (20, 26), (23, 37), (24, 37), (25, 15), (26, 98), (27, 88), (29, 9), (30, 29), (31, 51), (32, 63), (33, 69), (34, 63), (35, 84), (36, 43), (37, 84), (40, 84), (41, 52), (42, 9), (43, 63), (45, 8), (46, 72), (47, 43)], '8.41561007', 8.121310949325562, 'Optimal')"
App12,"([(0, 90), (1, 48), (2, 2), (3, 7), (4, 41), (5, 33), (6, 29), (7, 1), (8, 90), (9, 11), (10, 72), (11, 6), (12, 11), (13, 98), (14, 53), (15, 50), (16, 66), (17, 68), (18, 98), (19, 41), (20, 2), (21, 86), (22, 97), (23, 60), (24, 76), (25, 65), (26, 29), (27, 78), (28, 29), (29, 1), (30, 72), (31, 6), (32, 87), (33, 20), (34, 8), (35, 15), (36, 72), (37, 76), (38, 15), (39, 53), (40, 78), (41, 21), (42, 87), (43, 68), (44, 12), (45, 12), (46, 86), (47, 27), (48, 12), (49, 28), (50, 8), (51, 20)], '1.92407656', 1.582805871963501, 'Optimal')"
App13,"([(0, 72), (1, 51), (2, 66), (3, 87), (4, 69), (5, 51), (6, 98), (7, 69), (8, 43), (9, 52), (10, 28), (11, 12), (12, 29), (13, 84), (14, 52), (15, 29), (16, 45), (17, 2), (18, 72), (19, 43), (20, 87), (21, 76), (22, 1), (23, 15), (24, 56), (25, 15), (26, 78), (27, 66), (28, 12), (29, 33), (30, 26), (31, 16), (32, 37), (33, 84), (34, 63), (35, 1), (36, 8), (37, 88), (38, 98), (39, 11), (40, 2), (41, 8), (42, 56), (43, 97), (44, 84), (45, 78), (46, 63), (47, 11), (48, 76), (49, 45), (50, 68), (51, 94), (52, 97), (53, 37), (54, 68), (55, 94)], '2.92780900', 2.5908708572387695, 'Optimal')"
